Prénom ,Nom,Genre,Arrondissement,URL d'une photo
Manon,Barbe,F,LaSalle,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_barbe_manon.jpg
Dimitrios (Jim),Beis,M,Pierrefonds-Roxboro,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_beis_dimitrios.jpg
Michel,Bissonnet,M,Saint-Léonard,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_michel_bissonnet.jpg
Christine,Black,F,Montréal-Nord,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_christine_black.jpg
Marie,Cinq-Mars,F,Outremont,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_cinqmars_marie.jpg
Denis,Coderre,M,Ville-Marie,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_coderre_denis.jpg
Russell,Copeman,M,Côte-des-Neiges–Notre-Dame-de-Grâce,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_coperman_russell.jpg
François William,Croteau,M,Rosemont–La Petite-Patrie,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_francois_croteau.jpg
Claude,Dauphin,M,Lachine,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_dauphin_claude.jpg
Alan,DeSousa,M,Saint-Laurent,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_desousa_alan.jpg
Benoit,Dorais,M, Sud-Ouest,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_dorais_benoit.jpg
Luc,Ferrandez,M, Plateau-Mont-Royal,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_luc_ferrandez.jpg
Pierre,Gagnier,M,Ahuntsic-Cartierville,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gagnier_pierre.jpg
Normand,Marinacci,M,L'Île-Bizard–Sainte-Geneviève,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_marinaci_normand.jpg
Réal,Ménard,M,Mercier–Hochelaga-Maisonneuve,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_menard_real.jpg
Luis,Miranda,M,Anjou,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_miranda_luis.jpg
Jean-François,Parenteau,M,Verdun,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_parenteau_jean_francois.jpg
Chantal,Rouleau,F,Rivière-des-Prairies–Pointe-aux-Trembles,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_rouleau_chantal.jpg
Anie,Samson,F,Villeray–Saint-Michel–Parc-Extension,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_samson_anie.jpg
